Sequential # of First Verse in Pericope	# of Verses in Pericope	Canon Order	Heading	Verse Range
25015	12	1522	The Boy Jesus at the Temple	LUKE 2:41-52
25027	20	1523	John the Baptist Prepares the Way	LUKE 3:1-20
25047	18	1524	The Baptism and Genealogy of Jesus	LUKE 3:21-38
25065	13	1525	The Temptation of Jesus	LUKE 4:1-13
25078	17	1526	Jesus Rejected at Nazareth	LUKE 4:14-30
25095	7	1527	Jesus Drives Out an Evil Spirit	LUKE 4:31-37
25102	7	1528	Jesus Heals Many	LUKE 4:38-44
25109	11	1529	The Calling of the First Disciples	LUKE 5:1-11
25120	5	1530	The Man With Leprosy	LUKE 5:12-16
25125	10	1531	Jesus Heals a Paralytic	LUKE 5:17-26
25135	6	1532	The Calling of Levi	LUKE 5:27-32
25141	7	1533	Jesus Questioned About Fasting	LUKE 5:33-39
25148	11	1534	Lord of the Sabbath	LUKE 6:1-11
25159	5	1535	The Twelve Apostles	LUKE 6:12-16
25164	10	1536	Blessings and Woes	LUKE 6:17-26
25174	10	1537	Love for Enemies	LUKE 6:27-36
25184	6	1538	Judging Others	LUKE 6:37-42
25190	3	1539	A Tree and Its Fruit	LUKE 6:43-45
25193	4	1540	The Wise and Foolish Builders	LUKE 6:46-49
25197	10	1541	The Faith of the Centurion	LUKE 7:1-10
25207	7	1542	Jesus Raises a Widow's Son	LUKE 7:11-17
25214	18	1543	Jesus and John the Baptist	LUKE 7:18-35
25232	15	1544	Jesus Anointed by a Sinful Woman	LUKE 7:36-50
25247	15	1545	The Parable of the Sower	LUKE 8:1-15
25262	3	1546	A Lamp on a Stand	LUKE 8:16-18
25265	3	1547	Jesus' Mother and Brothers	LUKE 8:19-21
25268	4	1548	Jesus Calms the Storm	LUKE 8:22-25
25272	14	1549	The Healing of a Demon-possessed Man	LUKE 8:26-39
25286	17	1550	A Dead Girl and a Sick Woman	LUKE 8:40-56
25303	9	1551	Jesus Sends Out the Twelve	LUKE 9:1-9
25312	8	1552	Jesus Feeds the Five Thousand	LUKE 9:10-17
25320	10	1553	Peter's Confession of Christ	LUKE 9:18-27
25330	9	1554	The Transfiguration	LUKE 9:28-36
25339	9	1555	The Healing of a Boy With an Evil Spirit	LUKE 9:37-45
25348	5	1556	Who Will Be the Greatest	LUKE 9:46-50
25353	6	1557	Samaritan Opposition	LUKE 9:51-56
25359	6	1558	The Cost of Following Jesus	LUKE 9:57-62
25365	24	1559	Jesus Sends Out the Seventy-two	LUKE 10:1-24
25389	13	1560	The Parable of the Good Samaritan	LUKE 10:25-37
25402	5	1561	At the Home of Martha and Mary	LUKE 10:38-42
25407	13	1562	Jesus' Teaching on Prayer	LUKE 11:1-13
25420	15	1563	Jesus and Beelzebub	LUKE 11:14-28
25435	4	1564	The Sign of Jonah	LUKE 11:29-32
25439	4	1565	The Lamp of the Body	LUKE 11:33-36
25443	18	1566	Six Woes	LUKE 11:37-54
25461	12	1567	Warnings and Encouragements	LUKE 12:1-12
25473	9	1568	The Parable of the Rich Fool	LUKE 12:13-21
25482	13	1569	Do Not Worry	LUKE 12:22-34
25495	14	1570	Watchfulness	LUKE 12:35-48
25509	5	1571	Not Peace but Division	LUKE 12:49-53
25514	6	1572	Interpreting the Times	LUKE 12:54-59
25520	9	1573	Repent or Perish	LUKE 13:1-9
25529	8	1574	A Crippled Woman Healed on the Sabbath	LUKE 13:10-17
25537	4	1575	The Parables of the Mustard Seed and the Yeast	LUKE 13:18-21
25541	9	1576	The Narrow Door	LUKE 13:22-30
25550	5	1577	Jesus' Sorrow for Jerusalem	LUKE 13:31-35
25555	14	1578	Jesus at a Pharisee's House	LUKE 14:1-14
25569	10	1579	The Parable of the Great Banquet	LUKE 14:15-24
25579	11	1580	The Cost of Being a Disciple	LUKE 14:25-35
25590	7	1581	The Parable of the Lost Sheep	LUKE 15:1-7
25597	3	1582	The Parable of the Lost Coin	LUKE 15:8-10
25600	22	1583	The Parable of the Lost Son	LUKE 15:11-32
25622	15	1584	The Parable of the Shrewd Manager	LUKE 16:1-15
25637	3	1585	Additional Teachings	LUKE 16:16-18
25640	13	1586	The Rich Man and Lazarus	LUKE 16:19-31
25653	10	1587	Sin, Faith, Duty	LUKE 17:1-10
25663	9	1588	Ten Healed of Leprosy	LUKE 17:11-19
25672	18	1589	The Coming of the Kingdom of God	LUKE 17:20-37
25690	8	1590	The Parable of the Persistent Widow	LUKE 18:1-8
25698	6	1591	The Parable of the Pharisee and the Tax Collector	LUKE 18:9-14
25704	3	1592	The Little Children and Jesus	LUKE 18:15-17
25707	13	1593	The Rich Ruler	LUKE 18:18-30
25720	4	1594	Jesus Again Predicts His Death	LUKE 18:31-34
25724	9	1595	A Blind Beggar Receives His Sight	LUKE 18:35-43
25733	10	1596	Zacchaeus the Tax Collector	LUKE 19:1-10
25743	17	1597	The Parable of the Ten Minas	LUKE 19:11-27
25760	17	1598	The Triumphal Entry	LUKE 19:28-44
25777	4	1599	Jesus at the Temple	LUKE 19:45-48
25781	8	1600	The Authority of Jesus Questioned	LUKE 20:1-8
25789	11	1601	The Parable of the Tenants	LUKE 20:9-19
25800	7	1602	Paying Taxes to Caesar	LUKE 20:20-26
25807	14	1603	The Resurrection and Marriage	LUKE 20:27-40
25821	7	1604	Whose Son Is the Christ?	LUKE 20:41-47
25828	4	1605	The Widow's Offering	LUKE 21:1-4
25832	34	1606	Signs of the End of the Age	LUKE 21:5-38
25866	6	1607	Judas Agrees to Betray Jesus	LUKE 22:1-6
25872	32	1608	The Last Supper	LUKE 22:7-38
25904	8	1609	Jesus Prays on the Mount of Olives	LUKE 22:39-46
25912	7	1610	Jesus Arrested	LUKE 22:47-53
25919	9	1611	Peter Disowns Jesus	LUKE 22:54-62
25928	3	1612	The Guards Mock Jesus	LUKE 22:63-65
25931	31	1613	Jesus Before Pilate and Herod	LUKE 22:66-23:25
25962	18	1614	The Crucifixion	LUKE 23:26-43
25980	6	1615	Jesus' Death	LUKE 23:44-49
25986	7	1616	Jesus' Burial	LUKE 23:50-56
25993	12	1617	The Resurrection	LUKE 24:1-12
26005	23	1618	On the Road to Emmaus	LUKE 24:13-35
26028	14	1619	Jesus Appears to the Disciples	LUKE 24:36-49
26042	4	1620	The Ascension	LUKE 24:50-53
26046	18	1621	The Word Became Flesh	JOHN 1:1-18
26064	10	1622	John the Baptist Denies Being the Christ	JOHN 1:19-28
26074	6	1623	Jesus the Lamb of God	JOHN 1:29-34
26080	8	1624	Jesus' First Disciples	JOHN 1:35-42
26088	9	1625	Jesus Calls Philip and Nathanael	JOHN 1:43-51
26097	11	1626	Jesus Changes Water to Wine	JOHN 2:1-11
26108	14	1627	Jesus Clears the Temple	JOHN 2:12-25
26122	21	1628	Jesus Teaches Nicodemus	JOHN 3:1-21
26143	15	1629	John the Baptist's Testimony About Jesus	JOHN 3:22-36
26158	26	1630	Jesus Talks With a Samaritan Woman	JOHN 4:1-26
26184	12	1631	The Disciples Rejoin Jesus	JOHN 4:27-38
26196	4	1632	Many Samaritans Believe	JOHN 4:39-42
26200	12	1633	Jesus Heals the Official's Son	JOHN 4:43-54
26212	15	1634	The Healing at the Pool	JOHN 5:1-15
26227	15	1635	Life Through the Son	JOHN 5:16-30
26242	17	1636	Testimonies About Jesus	JOHN 5:31-47
26259	15	1637	Jesus Feeds the Five Thousand	JOHN 6:1-15
26274	9	1638	Jesus Walks on the Water	JOHN 6:16-24
26283	35	1639	Jesus the Bread of Life	JOHN 6:25-59
26318	12	1640	Many Disciples Desert Jesus	JOHN 6:60-71
26330	13	1641	Jesus Goes to the Feast of Tabernacles	JOHN 7:1-13
26343	11	1642	Jesus Teaches at the Feast	JOHN 7:14-24
26354	20	1643	Is Jesus the Christ?	JOHN 7:25-44
26374	20	1644	Unbelief of the Jewish Leaders	JOHN 7:45-8:11
26394	19	1645	The Validity of Jesus' Testimony	JOHN 8:12-30
26413	11	1646	The Children of Abraham	JOHN 8:31-41
26424	6	1647	The Children of the Devil	JOHN 8:42-47
26430	12	1648	The Claims of Jesus About Himself	JOHN 8:48-59
26442	12	1649	Jesus Heals a Man Born Blind	JOHN 9:1-12
26454	22	1650	The Pharisees Investigate the Healing	JOHN 9:13-34
26476	7	1651	Spiritual Blindness	JOHN 9:35-41
26483	21	1652	The Shepherd and His Flock	JOHN 10:1-21
26504	21	1653	The Unbelief of the Jews	JOHN 10:22-42
26525	16	1654	The Death of Lazarus	JOHN 11:1-16
26541	21	1655	Jesus Comforts the Sisters	JOHN 11:17-37
26562	7	1656	Jesus Raises Lazarus From the Dead	JOHN 11:38-44
26569	13	1657	The Plot to Kill Jesus	JOHN 11:45-57
26582	11	1658	Jesus Anointed at Bethany	JOHN 12:1-11
26593	8	1659	The Triumphal Entry	JOHN 12:12-19
26601	17	1660	Jesus Predicts His Death	JOHN 12:20-36
26618	14	1661	The Jews Continue in Their Unbelief	JOHN 12:37-50
26632	17	1662	Jesus Washes His Disciples' Feet	JOHN 13:1-17
26649	13	1663	Jesus Predicts His Betrayal	JOHN 13:18-30
26662	8	1664	Jesus Predicts Peter's Denial	JOHN 13:31-38
26670	4	1665	Jesus Comforts His Disciples	JOHN 14:1-4
26674	10	1666	Jesus the Way to the Father	JOHN 14:5-14
26684	17	1667	Jesus Promises the Holy Spirit	JOHN 14:15-31
26701	17	1668	The Vine and the Branches	JOHN 15:1-17
26718	14	1669	The World Hates the Disciples	JOHN 15:18-16:4
26732	12	1670	The Work of the Holy Spirit	JOHN 16:5-16
26744	17	1671	The Disciples' Grief Will Turn to Joy	JOHN 16:17-33
26761	5	1672	Jesus Prays for Himself	JOHN 17:1-5
26766	14	1673	Jesus Prays for His Disciples	JOHN 17:6-19
26780	7	1674	Jesus Prays for All Believers	JOHN 17:20-26
26787	11	1675	Jesus Arrested	JOHN 18:1-11
26798	3	1676	Jesus Taken to Annas	JOHN 18:12-14
26801	4	1677	Peter's First Denial	JOHN 18:15-18
26805	6	1678	The High Priest Questions Jesus	JOHN 18:19-24
26811	3	1679	Peter's Second and Third Denials	JOHN 18:25-27
26814	13	1680	Jesus Before Pilate	JOHN 18:28-40
26827	16	1681	Jesus Sentenced to be Crucified	JOHN 19:1-16
26843	11	1682	The Crucifixion	JOHN 19:17-27
26854	10	1683	The Death of Jesus	JOHN 19:28-37
26864	5	1684	The Burial of Jesus	JOHN 19:38-42
26869	9	1685	The Empty Tomb	JOHN 20:1-9
26878	9	1686	Jesus Appears to Mary Magdalene	JOHN 20:10-18
26887	5	1687	Jesus Appears to His Disciples	JOHN 20:19-23
26892	8	1688	Jesus Appears to Thomas	JOHN 20:24-31
26900	14	1689	Jesus and the Miraculous Catch of Fish	JOHN 21:1-14
26914	11	1690	Jesus Reinstates Peter	JOHN 21:15-25
26925	11	1691	Jesus Taken Up Into Heaven	ACTS 1:1-11
26936	15	1692	Matthias Chosen to Replace Judas	ACTS 1:12-26
26951	13	1693	The Holy Spirit Comes at Pentecost	ACTS 2:1-13
26964	28	1694	Peter Addresses the Crowd	ACTS 2:14-41
26992	6	1695	The Fellowship of the Believers	ACTS 2:42-47
26998	10	1696	Peter Heals the Crippled Beggar	ACTS 3:1-10
27008	16	1697	Peter Speaks to the Onlookers	ACTS 3:11-26
27024	22	1698	Peter and John Before the Sanhedrin	ACTS 4:1-22
27046	9	1699	The Believers' Prayer	ACTS 4:23-31
27055	6	1700	The Believers Share Their Possessions	ACTS 4:32-37
27061	11	1701	Ananias and Sapphira	ACTS 5:1-11
27072	5	1702	The Apostles Heal Many	ACTS 5:12-16
27077	26	1703	The Apostles Persecuted	ACTS 5:17-42
27103	7	1704	The Choosing of the Seven	ACTS 6:1-7
27110	8	1705	Stephen Seized	ACTS 6:8-15
27118	53	1706	Stephen's Speech to the Sanhedrin	ACTS 7:1-53
27171	8	1707	The Stoning of Stephen	ACTS 7:54-8:1
27179	2	1708	The Church Persecuted and Scattered	ACTS 8:2-3
27181	5	1709	Philip in Samaria	ACTS 8:4-8
27186	17	1710	Simon the Sorcerer	ACTS 8:9-25
27203	15	1711	Philip and the Ethiopian	ACTS 8:26-40
27218	19	1712	Saul's Conversion	ACTS 9:1-19
27237	12	1713	Saul in Damascus and Jerusalem	ACTS 9:20-31
27249	12	1714	Aeneas and Dorcas	ACTS 9:32-43
27261	8	1715	Cornelius Calls for Peter	ACTS 10:1-8
27269	15	1716	Peter's Vision	ACTS 10:9-23
27284	25	1717	Peter at Cornelius' House	ACTS 10:24-48
27309	18	1718	Peter Explains His Actions	ACTS 11:1-18
27327	12	1719	The Church in Antioch	ACTS 11:19-30
27339	19	1720	Peter's Miraculous Escape From Prison	ACTS 12:1-19
27358	6	1721	Herod's Death	ACTS 12:20-25
27364	3	1722	Barnabas and Saul Sent Off	ACTS 13:1-3
27367	9	1723	On Cyprus	ACTS 13:4-12
27376	40	1724	In Pisidian Antioch	ACTS 13:13-52
27416	7	1725	In Iconium	ACTS 14:1-7
27423	13	1726	In Lystra and Derbe	ACTS 14:8-20
27436	8	1727	The Return to Antioch in Syria	ACTS 14:21-28
27444	21	1728	The Council at Jerusalem	ACTS 15:1-21
27465	14	1729	The Council's Letter to Gentile Believers	ACTS 15:22-35
27479	6	1730	Disagreement Between Paul and Barnabas	ACTS 15:36-41
27485	5	1731	Timothy Joins Paul and Silas	ACTS 16:1-5
27490	5	1732	Paul's Vision of the Man of Macedonia	ACTS 16:6-10
27495	5	1733	Lydia's Conversion in Philippi	ACTS 16:11-15
27500	25	1734	Paul and Silas in Prison	ACTS 16:16-40
27525	9	1735	In Thessalonica	ACTS 17:1-9
27534	6	1736	In Berea	ACTS 17:10-15
27540	19	1737	In Athens	ACTS 17:16-34
27559	17	1738	In Corinth	ACTS 18:1-17
27576	11	1739	Priscilla, Aquila and Apollos	ACTS 18:18-28
27587	22	1740	Paul in Ephesus	ACTS 19:1-22
27609	19	1741	The Riot in Ephesus	ACTS 19:23-41
27628	6	1742	Through Macedonia and Greece	ACTS 20:1-6
27634	6	1743	Eutychus Raised From the Dead at Troas	ACTS 20:7-12
27640	26	1744	Paul's Farewell to the Ephesian Elders	ACTS 20:13-38
27666	16	1745	On to Jerusalem	ACTS 21:1-16
27682	10	1746	Paul's Arrival at Jerusalem	ACTS 21:17-26
27692	10	1747	Paul Arrested	ACTS 21:27-36
27702	25	1748	Paul Speaks to the Crowd	ACTS 21:37-22:21
27727	20	1749	Paul the Roman Citizen	ACTS 22:22-23:11
27747	11	1750	The Plot to Kill Paul	ACTS 23:12-22
27758	13	1751	Paul Transferred to Caesarea	ACTS 23:23-35
27771	27	1752	The Trial Before Felix	ACTS 24:1-27
27798	12	1753	The Trial Before Festus	ACTS 25:1-12
27810	10	1754	Festus Consults King Agrippa	ACTS 25:13-22
27820	37	1755	Paul Before Agrippa	ACTS 25:23-26:32
27857	12	1756	Paul Sails for Rome	ACTS 27:1-12
27869	14	1757	The Storm	ACTS 27:13-26
27883	18	1758	The Shipwreck	ACTS 27:27-44
27901	10	1759	Ashore on Malta	ACTS 28:1-10
27911	6	1760	Arrival at Rome	ACTS 28:11-16
27917	15	1761	Paul Preaches at Rome Under Guard	ACTS 28:17-31
27932	17	1762	Paul's Longing to Visit Rome	ROM 1:1-17
27949	15	1763	God's Wrath Against Mankind	ROM 1:18-32
27964	16	1764	God's Righteous Judgment	ROM 2:1-16
27980	13	1765	The Jews and the Law	ROM 2:17-29
27993	8	1766	God's Faithfulness	ROM 3:1-8
28001	12	1767	No One is Righteous	ROM 3:9-20
28013	11	1768	Righteousness Through Faith	ROM 3:21-31
28024	25	1769	Abraham Justified by Faith	ROM 4:1-25
28049	11	1770	Peace and Joy	ROM 5:1-11
28060	10	1771	Death Through Adam, Life Through Christ	ROM 5:12-21
28070	14	1772	Dead to Sin, Alive in Christ	ROM 6:1-14
28084	9	1773	Slaves to Righteousness	ROM 6:15-23
28093	6	1774	An Illustration From Marriage	ROM 7:1-6
28099	19	1775	Struggling With Sin	ROM 7:7-25
28118	17	1776	Life Through the Spirit	ROM 8:1-17
28135	10	1777	Future Glory	ROM 8:18-27
28145	12	1778	More Than Conquerors	ROM 8:28-39
28157	29	1779	God's Sovereign Choice	ROM 9:1-29
28186	25	1780	Israel's Unbelief	ROM 9:30-10:21
28211	10	1781	The Remnant of Israel	ROM 11:1-10
28221	14	1782	Ingrafted Branches	ROM 11:11-24
28235	8	1783	All Israel Will Be Saved	ROM 11:25-32
28243	4	1784	Doxology	ROM 11:33-36
28247	8	1785	Living Sacrifices	ROM 12:1-8
28255	13	1786	Love	ROM 12:9-21
28268	7	1787	Submission to the Authorities	ROM 13:1-7
28275	7	1788	Love, for the Day is Near	ROM 13:8-14
28282	36	1789	The Weak and the Strong	ROM 14:1-15:13
28318	9	1790	Paul the Minister to the Gentiles	ROM 15:14-22
28327	11	1791	Paul's Plan to Visit Rome	ROM 15:23-33
28338	27	1792	Personal Greetings	ROM 16:1-27
28365	9	1793	Thanksgiving	1COR 1:1-9
28374	8	1794	Divisions in the Church	1COR 1:10-17
28382	19	1795	Christ the Wisdom and Power of God	1COR 1:18-2:5
28401	11	1796	Wisdom From the Spirit	1COR 2:6-16
28412	23	1797	On Divisions in the Church	1COR 3:1-23
28435	21	1798	Apostles of Christ	1COR 4:1-21
28456	13	1799	Expel the Immoral Brother!	1COR 5:1-13
28469	11	1800	Lawsuits Among Believers	1COR 6:1-11
28480	9	1801	Sexual Immorality	1COR 6:12-20
28489	40	1802	Marriage	1COR 7:1-40
28529	13	1803	Food Sacrificed to Idols	1COR 8:1-13
28542	27	1804	The Rights of an Apostle	1COR 9:1-27
28569	13	1805	Warnings From Israel's History	1COR 10:1-13
28582	9	1806	Idol Feasts and the Lord's Supper	1COR 10:14-22
28591	12	1807	The Believer's Freedom	1COR 10:23-11:1
28603	15	1808	Propriety in Worship	1COR 11:2-16
28618	18	1809	The Lord's Supper	1COR 11:17-34
28636	31	1810	Spiritual Gifts	1COR 12:1-31
28667	13	1811	Love	1COR 13:1-13
28680	25	1812	Gifts of Prophecy and Tongues	1COR 14:1-25
28705	15	1813	Orderly Worship	1COR 14:26-40
28720	11	1814	The Resurrection of Christ	1COR 15:1-11
28731	23	1815	The Resurrection of the Dead	1COR 15:12-34
28754	24	1816	The Resurrection Body	1COR 15:35-58
28778	4	1817	The Collection for God's People	1COR 16:1-4
28782	14	1818	Personal Requests	1COR 16:5-18
28796	6	1819	Final Greetings	1COR 16:19-24
28802	11	1820	The God of All Comfort	2COR 1:1-11
28813	17	1821	Paul's Change of Plans	2COR 1:12-2:4
28830	7	1822	Forgiveness for the Sinner	2COR 2:5-11
28837	12	1823	Ministers of the New Covenant	2COR 2:12-3:6
28849	12	1824	The Glory of the New Covenant	2COR 3:7-18
28861	18	1825	Treasures in Jars of Clay	2COR 4:1-18
28879	10	1826	Our Heavenly Dwelling	2COR 5:1-10
28889	13	1827	The Ministry of Reconciliation	2COR 5:11-6:2
28902	11	1828	Paul's Hardships	2COR 6:3-13
28913	6	1829	Do Not Be Yoked With Unbelievers	2COR 6:14-7:1
28919	15	1830	Paul's Joy	2COR 7:2-16
28934	15	1831	Generosity Encouraged	2COR 8:1-15
28949	14	1832	Titus Sent to Corinth	2COR 8:16-9:5
28963	10	1833	Sowing Generously	2COR 9:6-15
28973	18	1834	Paul's Defense of His Ministry	2COR 10:1-18
28991	15	1835	Paul and the False Apostles	2COR 11:1-15
29006	18	1836	Paul Boasts About His Sufferings	2COR 11:16-33
29024	10	1837	Paul's Vision and His Thorn	2COR 12:1-10
29034	11	1838	Paul's Concern for the Corinthians	2COR 12:11-21
29045	10	1839	Final Warnings	2COR 13:1-10
29055	4	1840	Final Greetings	2COR 13:11-14
29059	10	1841	No Other Gospel	GAL 1:1-10
29069	14	1842	Paul Called by God	GAL 1:11-24
29083	10	1843	Paul Accepted by the Apostles	GAL 2:1-10
29093	11	1844	Paul Opposes Peter	GAL 2:11-21
29104	14	1845	Faith or Observance of the Law	GAL 3:1-14
29118	11	1846	The Law and the Promise	GAL 3:15-25
29129	11	1847	Sons of God	GAL 3:26-4:7
29140	13	1848	Paul's Concern for the Galatians	GAL 4:8-20
29153	11	1849	Hagar and Sarah	GAL 4:21-31
29164	15	1850	Freedom in Christ	GAL 5:1-15
29179	11	1851	Life by the Spirit	GAL 5:16-26
29190	10	1852	Doing Good to All	GAL 6:1-10
29200	8	1853	Not Circumcision but a New Creation	GAL 6:11-18
29208	14	1854	Spiritual Blessings in Christ	EPH 1:1-14
29222	9	1855	Thanksgiving and Prayer	EPH 1:15-23
29231	10	1856	Made Alive in Christ	EPH 2:1-10
29241	12	1857	One in Christ	EPH 2:11-22
29253	13	1858	Paul the Preacher to the Gentiles	EPH 3:1-13
29266	8	1859	A Prayer for the Ephesians	EPH 3:14-21
29274	16	1860	Unity in the Body of Christ	EPH 4:1-16
29290	37	1861	Living as Children of Light	EPH 4:17-5:21
29327	12	1862	Wives and Husbands	EPH 5:22-33
29339	4	1863	Children and Parents	EPH 6:1-4
29343	5	1864	Slaves and Masters	EPH 6:5-9
29348	11	1865	The Armor of God	EPH 6:10-20
29359	4	1866	Final Greetings	EPH 6:21-24
29363	11	1867	Thanksgiving and Prayer	PHIL 1:1-11
29374	19	1868	Paul's Chains Advance the Gospel	PHIL 1:12-30
29393	11	1869	Imitating Christ's Humility	PHIL 2:1-11
29404	7	1870	Shining as Stars	PHIL 2:12-18
29411	12	1871	Timothy and Epaphroditus	PHIL 2:19-30
29423	11	1872	No Confidence in the Flesh	PHIL 3:1-11
29434	11	1873	Pressing on Toward the Goal	PHIL 3:12-4:1
29445	8	1874	Exhortations	PHIL 4:2-9
29453	11	1875	Thanks for Their Gifts	PHIL 4:10-20
29464	3	1876	Final Greetings	PHIL 4:21-23
29467	14	1877	Thanksgiving and Prayer	COL 1:1-14
29481	9	1878	The Supremacy of Christ	COL 1:15-23
29490	11	1879	Paul's Labor for the Church	COL 1:24-2:5
29501	18	1880	Freedom From Human Regulations Through Life With Christ	COL 2:6-23
29519	17	1881	Rules for Holy Living	COL 3:1-17
29536	9	1882	Rules for Christian Households	COL 3:18-4:1
29545	5	1883	Further Instructions	COL 4:2-6
29550	12	1884	Final Greetings	COL 4:7-18
29562	10	1885	Thanksgiving for the Thessalonians' Faith	1THES 1:1-10
29572	16	1886	Paul's Ministry in Thesalonica	1THES 2:1-16
29588	9	1887	Paul's Longing to See the Thessalonians	1THES 2:17-3:5
29597	8	1888	Timothy's Encouraging Report	1THES 3:6-13
29605	12	1889	Living to Please God	1THES 4:1-12
29617	17	1890	The Coming of the Lord	1THES 4:13-5:11
29634	17	1891	Final Instructions	1THES 5:12-28
29651	12	1892	Thanksgiving and Prayer	2THES 1:1-12
29663	12	1893	The Man of Lawlessness	2THES 2:1-12
29675	5	1894	Stand Firm	2THES 2:13-17
29680	5	1895	Request for Prayer	2THES 3:1-5
29685	10	1896	Warning Against Idleness	2THES 3:6-15
29695	3	1897	Special Greetings	2THES 3:16-18
29698	11	1898	Warning Against False Teachers of the Law	1TIM 1:1-11
29709	9	1899	The Lord's Grace to Paul	1TIM 1:12-20
29718	15	1900	Instructions on Worship	1TIM 2:1-15
29733	16	1901	Overseers and Deacons	1TIM 3:1-16
29749	16	1902	Instructions to Timothy	1TIM 4:1-16
29765	27	1903	Advice About Widows, Elders and Slaves	1TIM 5:1-6:2
29792	8	1904	Love of Money	1TIM 6:3-10
29800	11	1905	Paul's Charge to Timothy	1TIM 6:11-21
29811	31	1906	Encouragement to Be Faithful	2TIM 1:1-2:13
29842	13	1907	A Workman Approved by God	2TIM 2:14-26
29855	9	1908	Godlessness in the Last Days	2TIM 3:1-9
29864	16	1909	Paul's Charge to Timothy	2TIM 3:10-4:8
29880	10	1910	Personal Remarks	2TIM 4:9-18
29890	4	1911	Final Greetings	2TIM 4:19-22
29894	16	1912	Titus' Task on Crete	PHILEM 1:1-16
29910	15	1913	What Must Be Taught to Various Groups	PHILEM 2:1-15
29925	11	1914	Doing What is Good	PHILEM 3:1-11
29936	4	1915	Final Remarks	PHILEM 3:12-15
29940	7	1916	Thanksgiving and Prayer	HEB 1:1-7
29947	18	1917	Paul's Plea for Onesimus	HEB 1:8-25
29965	14	1918	The Son Superior to Angels	HEB 1:1-14
29979	4	1919	Warning to Pay Attention	HEB 2:1-4
29983	14	1920	Jesus Made Like His Brothers	HEB 2:5-18
29997	6	1921	Jesus Greater Than Moses	HEB 3:1-6
30003	13	1922	Warning Against Unbelief	HEB 3:7-19
30016	13	1923	A Sabbath-Rest for the People of God	HEB 4:1-13
30029	13	1924	Jesus the Great High Priest	HEB 4:14-5:10
30042	16	1925	Warning Against Falling Away	HEB 5:11-6:12
30058	8	1926	The Certainty of God's Promise	HEB 6:13-20
30066	10	1927	Melchizedek the Priest	HEB 7:1-10
30076	18	1928	Jesus Like Melchizedek	HEB 7:11-28
30094	13	1929	The High Priest of a New Covenant	HEB 8:1-13
30107	10	1930	Worship in the Earthly Tabernacle	HEB 9:1-10
30117	18	1931	The Blood of Christ	HEB 9:11-28
30135	39	1932	Christ's Sacrifice Once for All	HEB 10:1-39
30174	40	1933	By Faith	HEB 11:1-40
30214	13	1934	God Disciplines His Sons	HEB 12:1-13
30227	16	1935	Warning Against Refusing God	HEB 12:14-29
30243	25	1936	Concluding Exhortations	HEB 13:1-25
30268	18	1937	Trials and Temptations	JAS 1:1-18
30286	9	1938	Listening and Doing	JAS 1:19-27
30295	13	1939	Favoritism Forbidden	JAS 2:1-13
30308	13	1940	Faith and Deeds	JAS 2:14-26
30321	12	1941	Taming the Tongue	JAS 3:1-12
30333	6	1942	Two Kinds of Wisdom	JAS 3:13-18
30339	12	1943	Submit Yourselves to God	JAS 4:1-12
30351	5	1944	Boasting About Tomorrow	JAS 4:13-17
30356	6	1945	Warning to Rich Oppressors	JAS 5:1-6
30362	6	1946	Patience in Suffering	JAS 5:7-12
30368	8	1947	The Prayer of Faith	JAS 5:13-20
30376	12	1948	Praise to God for a Living Hope	1PET 1:1-12
30388	16	1949	Be Holy	1PET 1:13-2:3
30404	9	1950	The Living Stone and a Chosen People	1PET 2:4-12
30413	13	1951	Submission to Rulers and Masters	1PET 2:13-25
30426	7	1952	Wives and Husbands	1PET 3:1-7
30433	15	1953	Suffering for Doing Good	1PET 3:8-22
30448	11	1954	Living for God	1PET 4:1-11
30459	8	1955	Suffering for Being a Christian	1PET 4:12-19
30467	11	1956	To Elders and Young Men	1PET 5:1-11
30478	3	1957	Final Greetings	1PET 5:12-14
30481	11	1958	Making One's Calling and Election Sure	1JOHN 1:1-11
30492	10	1959	Prophecy of Scripture	1JOHN 1:12-21
30502	22	1960	False Teachers and Their Destruction	1JOHN 2:1-22
30524	18	1961	The Day of the Lord	1JOHN 3:1-18
30542	4	1962	The Word of Life	1JOHN 1:1-4
30546	20	1963	Walking in the light	1JOHN 1:5-2:14
30566	3	1964	Do Not Love the World	1JOHN 2:15-17
30569	10	1965	Warning Against Antichrists	1JOHN 2:18-27
30579	12	1966	Children of God	1JOHN 2:28-3:10
30591	14	1967	Love one another	1JOHN 3:11-24
30605	6	1968	Test the Spirits	1JOHN 4:1-6
30611	15	1969	God's Love and Ours	1JOHN 4:7-21
30626	12	1970	Faith in the Son of God	1JOHN 5:1-12
30638	9	1971	Concluding Remarks	1JOHN 5:13-21
30647	13	1972	Walking in Truth and Love	2JOHN 1:1-13
30660	15	1973	Support and Opposition	3JOHN 1:1-15
30675	16	1974	The sin and doom of Godless men	REV 1:1-16
30691	7	1975	A call to persevere	REV 1:17-23
30698	2	1976	Doxology	REV 1:24-25
30700	3	1977	Prologue	REV 1:1-3
30703	5	1978	Greetings and doxology	REV 1:4-8
30708	12	1979	One like a Son of Man	REV 1:9-20
30720	7	1980	To the church in Ephesus	REV 2:1-7
30727	4	1981	To the Church in Smyrna	REV 2:8-11
