Sequential # of First Verse in Pericope	# of Verses in Pericope	Canon Order	Heading	Verse Range
18367	7	1027	Hezekiah's Prayer	ISA 37:14-20
18374	18	1028	Sennacherib's Fall	ISA 37:21-38
18392	22	1029	Hezekiah's Illness	ISA 38:1-22
18414	8	1030	Envoys From Babylon	ISA 39:1-8
18422	31	1031	Comfort for God's People	ISA 40:1-31
18453	29	1032	The Helper of Israel	ISA 41:1-29
18482	9	1033	The Servant of the Lord	ISA 42:1-9
18491	8	1034	Song of Praise to the Lord	ISA 42:10-17
18499	8	1035	Israel Blind and Deaf	ISA 42:18-25
18507	13	1036	Israel's Only Savior	ISA 43:1-13
18520	15	1037	God's Mercy and Israel's Unfaithfulness	ISA 43:14-28
18535	5	1038	Israel the Chosen	ISA 44:1-5
18540	18	1039	The LORD , Not Idols	ISA 44:6-23
18558	30	1040	Jerusalem to Be Inhabited	ISA 44:24-45:25
18588	13	1041	Gods of Babylon	ISA 46:1-13
18601	15	1042	The Fall of Babylon	ISA 47:1-15
18616	11	1043	Stubborn Israel	ISA 48:1-11
18627	11	1044	Israel Freed	ISA 48:12-22
18638	8	1045	The Servant of the LORD	ISA 49:1-8
18646	18	1046	Restoration of Israel	ISA 49:9-26
18664	11	1047	Israel's Sin and the Servant's Obedience	ISA 50:1-11
18675	16	1048	Everlasting Salvation for Zion	ISA 51:1-16
18691	19	1049	The Cup of the LORD 's Wrath	ISA 51:17-52:12
18710	15	1050	The Suffering and Glory of the Servant	ISA 52:13-53:12
18725	17	1051	The Future Glory of Zion	ISA 54:1-17
18742	13	1052	Invitation to the Thirsty	ISA 55:1-13
18755	8	1053	Salvation for Others	ISA 56:1-8
18763	17	1054	God's Accusation Against the Wicked	ISA 56:9-57:13
18780	8	1055	Comfort for the Contrite	ISA 57:14-21
18788	14	1056	True Fasting	ISA 58:1-14
